% 1. Title: Fire Detection 
% 2. Relevant Information:
%
%	 This data is about texture and distribution of colors in images from 
%	 fire in coniferous forest taken in day.
%
%      This data set includes WRITE-NUMBER!!! instances of the class "fire" 
%      and WRITE-NUMBER!!! instances of "nofire" class, and WRITE-NUMBER!!! instances of "smoke" class 
%      The instances are described by 12 attributes.
%  
% 
% 3. Number of Instances: WRITE NUMBER!!!!!!!
% 
% 4. Number of Attributes: 11  + the class attribute
% 
% 5. For Each Attribute:
%   1. Average value of red color (numeric)
%   2. Average value of green color (numeric)
%   3. Average value of blue color (numeric)
%   4. Standard Deviation value of red color (numeric)
%   5. Standard Deviation value of green color (numeric)
%   6. Standard Deviation value of blue color (numeric)
%   7. Energy value of the picture converted to gray-scale (numeric)
%   8. Homogeneity value of the picture converted to gray-scale (numeric)
%   9. Contrast value of the picture converted to gray-scale (numeric)
%   10. Dissimilarity value of the picture converted to gray-scale (numeric)
%   11. Correlation value of the picture converted to gray-scale (numeric)
%   12. Class variable (fire, no_fire, smoke)
%
% 6. Missing Attribute Values: None
%
% 7. Class Distribution: (class value 0 as "no_fire", 1 is interpreted as "fire"
%    and value 2 as "smoke" )
%    Class Value  Number of instances
%    0            
%    1            
%    2
%
@relation fire-detection 
@attribute meanr numeric
@attribute meang numeric
@attribute meanb numeric
@attribute std-devr numeric
@attribute std-devg numeric
@attribute std-devb numeric
@attribute energy numeric
@attribute homogeneity numeric
@attribute contrast numeric
@attribute dissimilarity numeric
@attribute correlation numeric
@attribute 'class' {fire, no_fire, smoke}
@data
204.0461,175.3994,136.3828,44.3193,33.884,16.9709,0.3352,0.8849,0.2534,0.2341,0.9736,smoke
174.4611,95.8756,39.0878,49.0789,39.7385,20.7496,0.1728,0.5873,2.2851,1.0527,0.8092,fire
216.3633,140.5372,59.4156,33.032,63.4091,30.6767,0.1276,0.4872,4.1497,1.4796,0.8114,fire
189.6972,172.3094,153.4683,6.7508,5.8087,5.8949,0.6745,0.9702,0.0595,0.0595,0.8824,smoke
172.8856,127.1306,157.4722,10.579,7.8876,13.7065,0.8637,0.9726,0.0629,0.0561,0.7813,smoke
122.3689,15.1683,3.7744,57.2478,13.032,4.3483,0.3375,0.8221,0.4563,0.3724,0.8702,fire
170.0406,100.9533,69.5911,50.9307,32.6248,22.0478,0.1949,0.6021,1.6332,0.9337,0.8349,fire
136.2972,90.3433,38.8544,54.4894,49.5011,34.9116,0.2707,0.6555,2.7506,0.9785,0.8512,fire
96.1294,101.7044,68.74,32.7158,30.2815,22.1663,0.2271,0.6347,1.4892,0.8509,0.7883,no_fire
30.6478,38.7322,38.4761,15.5903,17.107,20.9552,0.5502,0.8772,0.3078,0.2557,0.8693,no_fire
182.0278,108.1428,93.2178,41.5831,27.0673,26.0875,0.3034,0.8688,0.2732,0.2642,0.9583,smoke
85.1683,81.26,38.1533,23.2096,21.3177,22.9553,0.2648,0.6256,1.4467,0.8617,0.6216,no_fire
162.2956,150.8161,129.4367,42.5437,33.0776,17.9498,0.5861,0.9217,0.1689,0.1587,0.9805,smoke
203.3367,195.9911,188.7383,5.9072,6.9425,10.7836,0.7604,0.9773,0.0454,0.0454,0.8993,smoke
103.1061,101.3283,99.3617,31.3348,29.8419,29.3434,0.3437,0.8673,0.2817,0.2681,0.9593,smoke
205.9889,97.5244,13.8228,46.8863,28.0915,12.4909,0.2169,0.6252,1.9388,0.9365,0.7194,fire
187.0406,107.9322,55.6222,51.0266,80.58,69.3314,0.1797,0.6094,3.3254,1.1383,0.9175,fire
36.9144,59.1083,23.4622,28.6076,32.7378,24.2218,0.1695,0.4409,5.4203,1.7269,0.2844,no_fire
97.355,81.87,67.7106,11.1789,10.1633,9.917,0.5838,0.9314,0.1372,0.1372,0.8433,smoke
57.6717,58.6383,39.8861,21.2102,20.1568,17.8153,0.2436,0.6217,1.4133,0.8645,0.5724,no_fire
132.2822,131.6156,95.275,44.124,43.3222,33.1533,0.1432,0.5208,3.3254,1.3084,0.7665,no_fire
65.3572,82.3078,105.2022,30.8945,27.6276,25.5701,0.3878,0.9045,0.2534,0.2012,0.9596,smoke
62.0611,59.5244,52.9256,27.393,18.8073,16.4385,0.3151,0.6691,1.3248,0.7613,0.591,no_fire
128.6994,130.8172,45.1806,61.2141,51.9985,31.1669,0.1342,0.4957,4.6661,1.5125,0.7775,no_fire
85.1461,83.4783,76.105,21.485,21.5451,23.5498,0.4003,0.9518,0.0964,0.0964,0.9761,smoke
87.6011,70.63,32.0406,31.4,27.1771,21.3304,0.271,0.6311,1.572,0.8634,0.7435,no_fire
211.2872,140.2906,88.2189,33.113,28.868,18.5548,0.1938,0.5939,1.7392,0.9637,0.7243,fire
63.1872,68.8467,39.3694,11.5782,11.7944,9.8606,0.4355,0.7976,0.4552,0.4133,0.605,no_fire
143.4161,140.4794,150.22,40.3593,32.2095,35.1914,0.1818,0.6087,1.8719,0.949,0.7914,smoke
109.0889,99.1361,75.6044,52.8663,45.956,43.6435,0.2264,0.6769,1.8838,0.8112,0.8911,no_fire
173.0472,156.3922,130.5322,35.2382,30.6428,23.7245,0.3463,0.9219,0.1576,0.1565,0.9793,smoke
147.4906,116.6278,91.9167,57.7402,54.5408,43.2657,0.1455,0.5399,3.0992,1.2375,0.8608,fire
101.2128,106.2211,113.1222,28.8454,25.06,22.7765,0.3593,0.8849,0.2574,0.2347,0.9484,smoke
76.5517,100.1517,101.6878,19.5661,17.8331,14.2681,0.3038,0.7391,0.6797,0.5482,0.7389,no_fire
115.4933,103.6267,59.35,46.7479,45.9892,38.602,0.102,0.3185,9.7902,2.4705,0.4029,no_fire
114.3117,37.975,46.5817,58.7282,8.9148,7.766,0.5602,0.9082,0.1837,0.1837,0.881,fire
53.0494,64.2861,49.2706,24.2724,20.7032,24.0145,0.3568,0.7401,0.7766,0.5624,0.7938,no_fire
144.0433,147.8367,149.1456,32.9728,37.5824,40.7228,0.3838,0.8971,0.2262,0.2092,0.9775,smoke
106.5033,117.7517,125.4083,63.5195,67.3205,69.2467,0.1035,0.3791,8.9206,2.2109,0.7395,no_fire
